f0c0,f0c1,f1c0,f1c1
1.41577,1.41577,1.41577,1.41577
-1.4951,-1.4951,-1.4951,-1.4951
-2.86838,-2.86838,-2.86838,-2.86838
4.77523,4.77523,4.77523,4.77523
0.551852,0.551852,0.551852,0.551852
0.817592,0.817592,0.817592,0.817592
7.72851,7.72851,7.72851,7.72851
0.804918,0.804918,0.804918,0.804918
6.61853,6.61853,6.61853,6.61853
5.62066,5.62066,5.62066,5.62066
3.9773,3.9773,3.9773,3.9773
9.06896,9.06896,9.06896,9.06896
2.88596,2.88596,2.88596,2.88596
10.2078,10.2078,10.2078,10.2078
2.99827,2.99827,2.99827,2.99827
10.2996,10.2996,10.2996,10.2996
