tr,sigma,phi
-0.229181,0.630812,0.630812
-0.230691,0.635406,0.635406
-0.2249,0.639356,0.639356
-0.219932,0.638487,0.638487
-0.22212,0.637585,0.637585
-0.226583,0.640793,0.640793
-0.223351,0.636848,0.636848
-0.226852,0.633963,0.633963
-0.220194,0.636773,0.636773
-0.225402,0.634609,0.634609
-0.221008,0.634975,0.634975
-0.224911,0.634906,0.634906
-0.221407,0.633104,0.633104
-0.21784,0.638986,0.638986
-0.225023,0.634937,0.634937
-0.224951,0.639861,0.639861
-0.226054,0.63645,0.63645
-0.224761,0.636432,0.636432
-0.22373,0.63365,0.63365
-0.224784,0.633745,0.633745
-0.222589,0.638224,0.638224
-0.220347,0.640075,0.640075
-0.22521,0.636828,0.636828
-0.226509,0.63745,0.63745
-0.231952,0.636077,0.636077
-0.224403,0.637607,0.637607
-0.224541,0.635979,0.635979
-0.227806,0.642068,0.642068
-0.225722,0.636624,0.636624
-0.221615,0.63669,0.63669
-0.228451,0.637265,0.637265
-0.230382,0.637645,0.637645
-0.225538,0.640203,0.640203
-0.226765,0.634361,0.634361
-0.226385,0.640322,0.640322
-0.223543,0.636438,0.636438
-0.227986,0.635059,0.635059
-0.226518,0.633189,0.633189
-0.223789,0.634117,0.634117
-0.226371,0.642077,0.642077
-0.226089,0.633109,0.633109
-0.227828,0.632245,0.632245
-0.225287,0.642815,0.642815
-0.22779,0.637904,0.637904
-0.224891,0.632328,0.632328
-0.231195,0.634094,0.634094
-0.219124,0.632841,0.632841
-0.228818,0.631401,0.631401
-0.223617,0.632774,0.632774
-0.227929,0.637647,0.637647
-0.229039,0.634264,0.634264
-0.225666,0.636507,0.636507
-0.225925,0.632417,0.632417
-0.222648,0.635513,0.635513
-0.223393,0.636568,0.636568
-0.222728,0.633155,0.633155
-0.22046,0.636062,0.636062
-0.223724,0.631803,0.631803
-0.225997,0.632466,0.632466
-0.227713,0.63703,0.63703
-0.22782,0.63871,0.63871
-0.221529,0.633226,0.633226
-0.224283,0.631839,0.631839
-0.221558,0.631145,0.631145
-0.227738,0.634093,0.634093
-0.228161,0.632879,0.632879
-0.227778,0.640763,0.640763
-0.220765,0.639516,0.639516
-0.231204,0.635386,0.635386
-0.224907,0.64137,0.64137
-0.222045,0.631315,0.631315
-0.226497,0.637189,0.637189
-0.235766,0.635136,0.635136
-0.223729,0.640146,0.640146
-0.230271,0.634333,0.634333
-0.218025,0.640008,0.640008
-0.221246,0.639966,0.639966
-0.221289,0.642028,0.642028
-0.231105,0.635141,0.635141
-0.221576,0.635633,0.635633
-0.230313,0.635191,0.635191
-0.224157,0.633833,0.633833
-0.229982,0.635932,0.635932
-0.224538,0.635695,0.635695
-0.228004,0.633151,0.633151
-0.22264,0.630503,0.630503
-0.225443,0.631946,0.631946
-0.223222,0.637967,0.637967
-0.229971,0.634971,0.634971
-0.221482,0.636181,0.636181
-0.228015,0.635951,0.635951
-0.232937,0.638796,0.638796
-0.2269,0.63833,0.63833
-0.232283,0.635484,0.635484
-0.221673,0.641431,0.641431
-0.227231,0.635891,0.635891
-0.222247,0.64037,0.64037
-0.227509,0.634586,0.634586
-0.217776,0.632509,0.632509
-0.220295,0.635576,0.635576
-0.22303,0.6366,0.6366
-0.226386,0.639908,0.639908
-0.227233,0.639191,0.639191
-0.225426,0.63423,0.63423
-0.227603,0.638505,0.638505
-0.22514,0.633022,0.633022
-0.22261,0.637396,0.637396
-0.225975,0.627907,0.627907
-0.223114,0.635671,0.635671
-0.223434,0.634478,0.634478
-0.224173,0.636921,0.636921
-0.217724,0.636618,0.636618
-0.224432,0.633859,0.633859
-0.226642,0.634665,0.634665
-0.228669,0.634874,0.634874
-0.222023,0.639271,0.639271
-0.227822,0.632587,0.632587
-0.225014,0.635853,0.635853
-0.226471,0.634846,0.634846
-0.228099,0.63714,0.63714
-0.224103,0.633196,0.633196
-0.220472,0.631258,0.631258
-0.224569,0.633968,0.633968
