tr,sigma,phi
-0.669301,0.0229815,0
-0.640753,0.0245499,0
-0.675029,0.0229123,0
-0.662859,0.0269299,0
-0.662342,0.0263808,0
-0.663877,0.0212409,0
-0.639664,0.0186,0
-0.652172,0.021523,0
-0.654051,0.0194468,0
-0.664442,0.0228987,0
-0.665468,0.0105204,0
-0.659152,0.0187885,0
-0.688337,0.0215009,0
-0.623587,0.0170191,0
-0.655234,0.0169126,0
-0.65408,0.0214784,0
-0.678975,0.0199043,0
-0.626635,0.0180708,0
-0.664383,0.0216974,0
-0.638291,0.0200654,0
-0.637131,0.0264872,0
-0.658057,0.0206194,0
-0.655686,0.0247353,0
-0.611465,0.0180851,0
-0.633381,0.0242969,0
-0.63176,0.0254798,0
-0.64896,0.024536,0
-0.655704,0.0225094,0
-0.643621,0.0260263,0
-0.644566,0.0206231,0
-0.650801,0.0204988,0
-0.644913,0.021434,0
-0.6695,0.0217658,0
-0.648774,0.0209409,0
-0.674635,0.0260926,0
-0.637875,0.0197431,0
-0.646878,0.0188261,0
-0.65063,0.0266837,0
-0.64989,0.0229,0
-0.650565,0.0240488,0
-0.617226,0.0166902,0
-0.694888,0.0275707,0
-0.626181,0.0260523,0
-0.653562,0.0205774,0
-0.644314,0.0224186,0
-0.667092,0.0162072,0
-0.62855,0.0144899,0
-0.654775,0.0197726,0
-0.682632,0.0240304,0
-0.657524,0.0240453,0
-0.629247,0.0216042,0
-0.655628,0.0210548,0
-0.649673,0.024533,0
-0.660536,0.0167451,0
-0.648045,0.0253275,0
-0.666962,0.0225771,0
-0.633831,0.0182432,0
-0.66254,0.0228448,0
-0.651981,0.0197476,0
-0.67578,0.0227671,0
-0.669332,0.0196662,0
-0.665778,0.0224976,0
-0.657767,0.0240691,0
-0.63961,0.0260997,0
-0.672466,0.026512,0
-0.651814,0.0246572,0
-0.631848,0.0208593,0
-0.661757,0.0197371,0
-0.659368,0.0183076,0
-0.650207,0.0183249,0
-0.670887,0.0229829,0
-0.648705,0.0158976,0
-0.635499,0.0185552,0
-0.669358,0.0169173,0
-0.668781,0.024894,0
-0.638792,0.0186578,0
-0.659717,0.024201,0
-0.630482,0.0234884,0
-0.671435,0.0208926,0
-0.663284,0.0200673,0
-0.647507,0.0228536,0
-0.633082,0.0211434,0
-0.657045,0.0224882,0
-0.649451,0.0161762,0
-0.649749,0.0255002,0
-0.653624,0.0249154,0
-0.647349,0.0242691,0
-0.658065,0.0273525,0
-0.650685,0.017323,0
-0.649423,0.0238532,0
-0.664518,0.021776,0
-0.665391,0.02419,0
-0.672557,0.0199711,0
-0.648198,0.0171824,0
-0.640639,0.021453,0
-0.653458,0.0259555,0
-0.634132,0.0209806,0
-0.635955,0.0220248,0
-0.6737,0.020726,0
-0.667858,0.022975,0
-0.633843,0.0247973,0
-0.630209,0.0199974,0
-0.655224,0.023555,0
-0.666001,0.0224502,0
-0.664714,0.019523,0
-0.636004,0.0202035,0
-0.637981,0.0180337,0
-0.656947,0.019611,0
-0.640185,0.0252396,0
-0.634621,0.0292368,0
-0.629673,0.0223976,0
-0.642579,0.0205957,0
-0.640719,0.0170019,0
-0.656948,0.0157549,0
-0.696828,0.0185356,0
-0.622557,0.0237732,0
-0.678824,0.0202561,0
-0.667571,0.0209728,0
-0.679398,0.0223849,0
-0.640438,0.0202921,0
-0.625827,0.022191,0
-0.661539,0.0214132,0
-0.655295,0.022928,0
-0.681541,0.0206346,0
-0.653709,0.01785,0
-0.676532,0.0221561,0
-0.643261,0.0183758,0
-0.622205,0.0247636,0
-0.646017,0.0184484,0
-0.630274,0.025788,0
-0.620425,0.0254548,0
-0.656663,0.0215426,0
-0.658202,0.0212451,0
-0.65493,0.0222634,0
-0.643532,0.0244671,0
-0.64511,0.0208362,0
-0.699903,0.0242067,0
-0.657204,0.0229941,0
-0.644337,0.0230422,0
-0.647575,0.0166662,0
-0.64291,0.0182826,0
