tr,trp1,trp2,trp3,sigma,pi1,pi2,pi3
1.08807,-0.000592701,0,-0.000858685,-1.0787,6.18683e-05,0,4.72595e-05
1.09921,-0.00128774,0,0.00108781,-1.07458,0.00010003,0,-2.64211e-05
1.10266,0.000948407,0,-0.000469556,-1.0758,5.32326e-05,0,-2.69705e-05
1.06683,0.00118152,-0,-0.000759727,-1.07366,1.33037e-05,0,-5.25712e-06
1.09392,-0.00189267,0,-0.000155728,-1.07647,-2.0823e-05,0,-0.000102068
1.12474,0.0011798,0,-0.000190709,-1.07824,6.86338e-06,0,-4.08145e-05
1.08897,-0.00074405,0,-0.000402182,-1.07649,-4.08469e-05,0,-2.77739e-05
1.07278,0.000413285,0,-0.000614129,-1.07667,-6.32335e-05,0,5.38062e-06
1.06909,-0.000762396,0,-0.000303623,-1.078,3.15903e-05,0,-4.13813e-05
1.08135,-0.00069248,0,0.000806282,-1.07387,1.50405e-05,0,-5.44581e-05
1.0449,0.000323817,0,0.000813365,-1.07549,4.78388e-05,0,9.29294e-06
1.0874,0.000624563,0,0.000559243,-1.07624,0.000140218,0,2.87005e-05
1.05111,0.000775663,-0,-0.000475587,-1.07575,-8.92078e-05,0,-1.36348e-05
1.1141,-0.00051936,0,0.000665191,-1.07725,3.50855e-05,0,3.8615e-05
1.06348,0.000507491,0,-0.00119135,-1.07723,-2.71469e-05,0,-3.96693e-05
1.10143,-0.000905511,-0,0.000775791,-1.07538,7.38139e-05,0,8.73329e-05
1.06562,-0.00149483,0,0.000140429,-1.07579,9.65791e-05,0,-3.51382e-05
1.02588,-0.000559295,0,-0.00126541,-1.07554,0.000112285,01.11681,0.00081.0809,-0.00174114,-0,-0.00135133,-1.07453,6.68699e-05,0,21.08181,-0.1.08347,-0.000294144,0,0.00032576,-1.07658,4.35117e-05,0,-5.28886e-06
1.07322,0.000919873,0,0.00116295,-1.07413,-6.8046e-05,0,-1.97281e-05
1.09971,-0.00100579,-0,-0.000855345,-1.07562,1.26693e-05,0,-3.54494e-05
1.09234,-0.00147894,-0,0.00213404,-1.07652,0.000148168,0,-7.90367e-05
1.08737,0.000996244,0,0.000636618,-1.07379,5.40273e-05,0,-6.64528e-05
1.05255,-0.00182935,0,0.000310223,-1.07569,1.00326e-05,0,-1.29239e-05
1.04039,-0.000235152,-0,-0.000555771,-1.07457,-3.21705e-05,0,-8.732311.0821.07369,0.00111611,-0,-0.00102179,-1.07457,-7.37154e-05,0,7.17911e-01.1.09312,0.00284304,-0,-0.00149001,-1.0756,-0.000114293,0,4.58691e-05
1.08862,-0.00164803,0,-0.000289563,-1.07805,-3.13358e-05,0,-6.53216e-01.1.0868,-0.000616614,-0,-0.00189136,-1.07512,2.09459e-05,0,-2.64129e-0511.09289,-0.0032798,0,0.000714423,-1.07639,0.000116544,-0,-1.93269e-05
1.04903,0.00188076,-0,0.00226018,-1.077,-6.32755e-05,-0,-0.000100323
1.07045,4.51197e-05,-0,-0.00185267,-1.07878,-3.56524e-05,-0,-6.11143e-05
1.06208,0.000473945,-0,0.000573523,-1.07858,1.3093e-05,-0,3.97446e-05
1.05211,0.000111474,0,0.000547743,-1.0768,4.26654e-05,-0,4.65676e-05
1.08586,0.000263078,0,-0.000426278,-1.07841,-8.09401e-05,-0,-7.19477e-06
1.11051,-0.00126709,-0,-0.000868251,-1.07571,-8.78824e-05,-0,-5.94335e-05
1.08274,-0.000496415,-0,-0.000597448,-1.07693,6.43352e-05,-0,4.1702e-05
1.0831,0.000715953,-0,-0.000623492,-1.07636,9.21111e-05,-0,-1.57086e-05
1.07097,0.00173609,-0,-0.000405599,-1.07463,-4.70793e-05,-0,2.7224e-06
1.08071,-0.00150649,0,0.00195691,-1.07425,-1.37728e-05,-0,-3.64606e-05
1.09892,-0.00105171,-0,-0.00371376,-1.07777,7.77278e-05,-0,1.14405e-05
1.07288,-7.56358e-06,-0,-0.000450559,-1.07712,5.4045e-05,-0,7.75881e-05
1.08697,0.00176293,0,8.30005e-05,-1.07489,2.57439e-05,-0,-9.0563e-06
1.07173,-0.000952165,-0,0.000201095,-1.07251,4.48892e-05,-0,2.10833e-05
1.06861,-0.0013728,-0,-0.0011244,-1.07651,4.00368e-05,-0,-9.744e-05
1.0838,-0.00226918,-0,-0.00131259,-1.07621,7.66382e-05,-0,-7.63698e-05
1.09478,-0.000323657,-0,0.000478699,-1.07763,4.47683e-05,-0,9.48842e-07
1.06467,-1.94641e-08,-0,0.000267262,-1.07616,-7.37373e-05,-0,-1.43375e-06
1.08994,-0.00186908,-0,-0.000535937,-1.07759,-7.37864e-05,-0,-8.01964e-06
1.08546,0.000347678,-0,-0.000922011,-1.07483,-0.000107866,-0,9.63393e-05
1.03541,-0.0020426,-0,-0.000208505,-1.07615,-7.64881e-06,-0,-1.54609e-05
1.09556,0.000785821,-0,0.000866977,-1.07464,2.04277e-05,-0,-5.50852e-05
1.0783,-0.000320757,0,0.00239953,-1.07711,-7.09247e-05,-0,-0.000118319
1.08603,-0.000880935,-0,-0.00101209,-1.07614,2.13189e-05,-0,2.98474e-05
1.07775,0.000975521,0,0.000214081,-1.07798,7.67085e-05,-0,-7.73655e-05
1.07483,0.0013746,-0,-0.00152023,-1.0758,-8.43215e-05,-0,4.72868e-05
1.09024,-0.000817991,0,0.00201951,-1.07427,-3.65832e-05,-0,7.56111e-05
1.08408,0.0008798,0,0.00200766,-1.0763,-4.80404e-05,-0,-0.000161501
1.10605,7.41177e-05,-0,0.000560462,-1.077,7.46277e-05,-0,0.000122795
1.07736,-0.00100141,-0,0.00110096,-1.07795,3.73652e-05,-0,9.14325e-06
1.07995,0.000450677,-0,-0.00166405,-1.07621,0.000100779,-0,9.02354e-05
1.08439,-0.000277951,-0,0.00144231,-1.07608,-1.09963e-05,-0,1.98438e-05
1.0775,-4.18331e-05,-0,-0.00189913,-1.07587,8.90117e-05,-0,1.45692e-05
1.0758,-0.000889475,0,-0.000524428,-1.07679,7.09228e-05,-0,-4.63185e-05
1.10245,0.000975773,0,0.00179319,-1.07571,2.64099e-05,-0,3.26783e-05
1.08673,0.000602695,-0,-0.00045558,-1.07352,-1.33295e-05,0,-2.18355e-05
1.05267,-0.00118931,0,-0.000260924,-1.07563,1.53355e-05,0,0.0001118
1.08127,-0.000198212,-0,0.000547918,-1.07916,1.31299e-05,0,-3.25386e-05
1.07844,0.00143569,-0,-0.00277851,-1.078,-1.6e-05,0,-1.00956e-05
1.06665,0.000520296,0,-0.00178363,-1.0781,-5.47119e-05,0,5.60985e-06
1.07051,0.000438997,0,-0.00203039,-1.07382,0.00013486,0,3.30965e-05
1.08679,-2.62462e-05,-0,0.00146098,-1.07777,-6.42656e-05,0,-3.46495e-05
1.06419,-0.00139532,-0,0.000523929,-1.077,0.000115814,0,2.58444e-06
1.11749,-0.00144522,0,-7.01189e-05,-1.07752,0.000110998,0,-5.60141e-05
1.11099,-0.00160109,-0,-0.000255441,-1.07823,9.59193e-05,0,8.24862e-05
1.06791,-0.000785538,-0,0.000920835,-1.07421,0.000140485,0,6.54776e-05
1.07822,-0.0015322,-0,-0.000779708,-1.07499,-1.80573e-05,0,2.55888e-05
1.08799,-0.000916077,-0,-0.00132567,-1.07789,0.000120104,-0,0.000133806
1.05806,-0.000333027,0,0.000914668,-1.0743,-0.000130134,-0,3.27126e-05
1.07193,6.01436e-05,-0,0.00254086,-1.07509,4.41144e-05,-0,8.06987e-05
1.03929,-0.00129136,-0,0.000960312,-1.07547,3.39495e-05,-0,2.00718e-05
1.06485,-0.000706906,0,-0.00100129,-1.07656,3.24421e-05,-0,-1.96689e-05
1.08571,-0.000957774,-0,0.0014974,-1.07772,-1.92841e-05,-0,-4.33081e-05
1.09015,0.000354398,0,-0.000444813,-1.07492,-6.08016e-05,-0,6.59473e-06
1.03881,-0.000412392,-0,-0.000411708,-1.07433,6.0917e-05,-0,1.6487e-05
1.07586,0.00134273,-0,0.00117135,-1.07433,7.84591e-05,-0,2.93317e-05
1.09291,0.000611798,-0,0.00163303,-1.07515,6.23637e-05,-0,5.01814e-05
1.02493,0.00112196,-0,-0.000435138,-1.07603,-3.05562e-05,-0,5.38877e-05
1.09651,3.7741e-05,-0,-0.00130191,-1.07549,2.13452e-05,-0,5.00834e-05
1.08472,0.00319532,-0,-0.0013134,-1.07409,-7.4966e-05,-0,-3.92269e-05
1.04017,0.00115957,-0,-0.000331598,-1.07239,2.84204e-05,-0,-6.73954e-05
1.05465,-0.000506964,-0,0.000412342,-1.07561,4.43726e-05,-0,-9.49449e-05
1.06725,-0.00126675,0,0.000452808,-1.0752,3.54318e-05,-0,2.72808e-05
1.0762,-0.000583117,-0,-0.000809505,-1.07558,-0.000117938,-0,-4.56812e-05
1.07224,-0.000543911,0,-0.0012676,-1.07467,-5.73847e-05,-0,-9.27194e-05
1.10946,-0.000242083,-0,0.000607881,-1.07711,-6.73776e-05,-0,-5.69911e-05
1.01679,0.000176672,-0,0.00114416,-1.07347,3.26363e-05,-0,-3.30448e-05
1.10468,0.000711432,-0,0.00214211,-1.0751,-3.10242e-05,-0,-0.000114103
1.0733,0.000789245,-0,0.000451085,-1.07634,-0.000120047,-0,-9.98848e-06
1.08285,-0.003103,0,0.000944978,-1.07453,6.84971e-05,-0,0.000108332
1.06184,0.000872777,-0,-0.000946628,-1.0758,-4.30053e-05,-0,-1.54234e-05
1.09088,0.00113509,0,-0.00244453,-1.08036,3.47351e-06,0,7.33156e-05
1.08887,-0.000461915,-0,0.000567418,-1.07956,1.97562e-05,0,-6.46086e-05
1.06986,-0.000164472,-0,0.0019208,-1.078,1.72965e-05,0,-3.07233e-05
1.09192,-0.00284425,0,-0.00162538,-1.07842,0.000161103,0,-3.89308e-05
1.03437,-0.000558195,-0,8.4433e-07,-1.07672,8.67679e-05,0,0.000127802
1.08586,-0.000212916,-0,-0.00279373,-1.07544,4.68255e-05,0,-1.44268e-05
1.07856,0.0005222,-0,0.000531735,-1.07723,-8.20315e-05,0,-1.79095e-05
1.08188,0.00186131,-0,-0.000799743,-1.07636,-6.8836e-05,0,8.3262e-05
1.10287,0.00112014,-0,0.0013049,-1.07821,9.29151e-05,0,9.61511e-06
1.05104,-0.000714157,-0,-0.000511822,-1.07743,-6.72433e-05,0,-4.62687e-05
1.05206,-0.00241691,-0,-0.00042934,-1.07473,4.53474e-05,0,-4.44253e-06
1.08452,0.000325692,-0,0.0003702,-1.0767,5.43577e-05,0,-2.15212e-05
1.05676,-0.00014308,0,-0.0020088,-1.07628,-6.93952e-05,0,-4.17653e-05
1.08883,0.000132507,-0,0.00271838,-1.07863,-7.93998e-05,-0,-1.3303e-05
1.1056,-0.00244935,0,-0.00292538,-1.07788,-2.13008e-05,-0,7.86929e-05
1.07459,-0.000278491,0,0.00186665,-1.07628,3.13914e-05,-0,-9.14842e-06
1.06007,0.000749988,0,-2.78643e-05,-1.07597,6.51506e-05,-0,2.61189e-05
1.11233,-0.00207703,-0,0.00127699,-1.07886,-3.91431e-05,-0,-4.32469e-05
1.04029,-0.00087693,-0,0.00290392,-1.07707,9.16835e-05,-0,-2.19002e-05
1.03248,0.00292947,-0,-0.000229531,-1.07752,-2.46733e-05,-0,-6.68669e-05
1.07187,0.00188898,-0,8.57675e-05,-1.07616,-4.23137e-05,-0,4.22164e-06
1.05826,0.000638531,-0,-0.000445459,-1.07653,5.76259e-05,-0,6.90166e-05
1.06718,-0.00229805,-0,0.00391633,-1.07411,-1.1265e-05,-0,9.09178e-05
1.06565,0.00158552,0,0.00201865,-1.07263,4.05023e-05,-0,-0.000144305
1.08059,-0.000309843,-0,-0.00131466,-1.07538,1.62435e-05,-0,3.59797e-05
1.06683,-0.00185443,-0,0.00106056,-1.078,3.48475e-06,-0,5.42088e-05
1.0683,-0.00240978,-0,-0.00168746,-1.07622,-7.54555e-05,-0,6.66707e-05
1.09952,-0.00144212,0,-0.000768436,-1.07787,-6.46673e-05,-0,-7.47276e-05
1.05311,-0.000513082,-0,-0.00126124,-1.07516,-4.74222e-05,-0,8.86733e-06
1.04222,0.00105828,0,-0.00105596,-1.07432,-5.10436e-05,-0,-4.71917e-05
1.08922,-0.00104223,0,0.00110293,-1.07394,-2.6556e-05,-0,2.0898e-05
1.09672,0.000113785,-0,-0.000177154,-1.07692,4.10082e-05,-0,-5.93805e-05
1.08685,0.000488626,-0,-0.00132614,-1.07815,-0.000127554,-0,-2.79727e-05
1.07768,-0.00137222,-0,-0.00159271,-1.07747,0.000120962,-0,-4.66496e-05
1.06156,0.000965391,0,0.00142591,-1.07825,4.18041e-05,-0,-0.00011376
1.09303,-0.00150818,-0,-0.000612374,-1.07597,0.000112759,-0,-4.83362e-07
1.0713,0.00181263,-0,0.000890495,-1.07532,-6.64219e-05,-0,-4.49344e-05
1.05416,-0.00044223,-0,0.000907538,-1.07499,4.96901e-05,-0,-5.28254e-05
1.09294,-0.00304793,-0,-0.00261418,-1.07553,0.000117461,-0,-1.0512e-05
1.06089,0.000576976,0,0.00124838,-1.07406,-7.86612e-05,-0,8.90917e-05
1.08828,0.00107984,0,0.000725294,-1.07698,0.000121601,-0,0.0001251
1.06173,-0.000934783,-0,7.81921e-05,-1.07632,-6.66729e-06,-0,-0.000210412
1.11041,0.00144637,0,-0.00206024,-1.07794,5.01281e-05,-0,-6.59981e-06
1.05071,-0.000720222,0,0.000147129,-1.07575,-6.00464e-05,-0,-1.56884e-05
1.07917,-0.000128064,-0,0.000200387,-1.07566,-1.95982e-05,-0,-1.66195e-05
1.07252,-0.000213315,0,0.00165802,-1.07629,0.000102501,-0,-8.21399e-05
1.07852,-0.000218847,0,-0.000199391,-1.07757,0.000125279,-0,3.88175e-05
1.1142,0.00214117,-0,0.000623002,-1.07721,-3.11101e-05,-0,2.28914e-05
1.06399,-0.000127997,-0,0.000886098,-1.07655,1.23191e-05,-0,-0.000107457
1.03953,0.00122514,0,-0.00106793,-1.07465,9.11991e-06,0,5.84633e-05
1.09449,0.000259823,-0,-0.000615603,-1.07593,-7.20015e-05,0,-0.000120822
1.10471,-0.00331679,-0,0.00131756,-1.07357,0.000141191,0,-3.03094e-05
1.10726,0.000819751,0,-3.71164e-05,-1.07514,-4.42911e-05,0,-4.64597e-05
1.03728,0.000237621,0,-0.00157133,-1.07533,-6.50954e-05,0,-6.0819e-05
1.08513,0.000461635,0,0.00248389,-1.07779,-1.73311e-05,0,-4.98062e-05
1.10033,-0.00133667,0,-0.000739779,-1.07735,2.11877e-05,0,0.000118931
1.05883,-0.000580348,0,0.000860441,-1.07605,-8.62201e-05,0,2.90293e-06
1.06317,-0.0014308,-0,0.00266257,-1.07673,-3.65292e-05,0,-9.96026e-05
1.05603,0.00110839,-0,0.00103335,-1.07475,-0.000130345,-0,-9.85362e-05
1.10385,0.000966952,-0,-0.000289894,-1.07703,-1.01823e-05,0,1.66309e-05
1.11792,-0.00127521,0,0.000972321,-1.07624,9.74513e-05,0,-6.00098e-05
1.05005,0.000760488,0,0.00125796,-1.0747,-7.00495e-05,-0,-7.43866e-05
1.08294,-0.000470593,-0,0.0021944,-1.07531,-7.62038e-05,-0,-9.90145e-05
1.0485,7.27219e-05,0,1.60831e-05,-1.07575,0.000109803,-0,6.04068e-05
1.06414,0.00272524,-0,-0.00201268,-1.07415,8.23894e-05,-0,3.65399e-05
1.07972,-0.000616781,-0,-0.000609697,-1.07304,-2.63692e-05,-0,-7.05919e-05
1.03185,-0.000326493,0,0.00125551,-1.0738,5.53762e-05,-0,-4.11401e-06
1.10712,-0.00165372,0,0.000213366,-1.07688,6.00465e-05,-0,-3.99403e-05
1.09211,-0.000343582,-0,-0.000877731,-1.07853,-0.000116088,-0,5.39137e-05
1.0505,0.00115611,-0,-0.000242263,-1.07784,-2.22876e-05,0,1.67678e-05
1.08523,0.000252856,-0,0.000159973,-1.07501,-4.92437e-05,-0,8.0914e-05
1.07552,0.000263199,-0,0.00218214,-1.07661,-2.57774e-05,-0,-9.37583e-05
1.07657,0.000362978,-0,0.000121484,-1.0744,1.26839e-05,-0,8.06991e-05
1.08665,-0.000331988,0,0.00247842,-1.07663,-0.00010233,-0,-0.000144074
1.09823,-0.000208269,-0,-0.000599787,-1.07916,-8.01053e-05,-0,1.63266e-05
1.0433,0.000734714,-0,4.02386e-05,-1.07476,-5.24589e-05,-0,-3.1077e-06
1.14489,-0.000527028,0,0.000773816,-1.07654,1.97645e-05,-0,-4.62841e-05
1.0854,0.00135298,-0,-0.000480375,-1.0772,5.08951e-05,-0,-0.000133682
1.09611,0.000476708,-0,8.26662e-05,-1.07591,3.42577e-06,-0,4.28113e-05
1.05808,0.00149267,-0,0.000243482,-1.08088,8.66478e-05,-0,-4.56331e-05
1.0831,-0.00128554,-0,-0.00115157,-1.07913,2.84203e-05,-0,5.81593e-06
1.09662,0.000303101,-0,0.00259069,-1.07736,-7.17902e-05,-0,-6.70841e-05
1.07589,-0.000573062,-0,0.000579463,-1.07674,-0.000115785,-0,0.000107671
1.08867,0.00108778,-0,-0.00110608,-1.07819,3.84019e-05,-0,-1.73316e-05
1.10864,0.00132299,0,-0.00208765,-1.07926,-2.46631e-05,-0,6.97804e-06
1.07248,-0.00111707,-0,0.000166932,-1.07754,0.000116574,-0,-6.14575e-05
1.06625,-0.00095845,-0,0.00248441,-1.0746,1.83205e-05,-0,-5.27957e-05
1.10361,4.98142e-05,-0,0.0020139,-1.07936,5.5338e-05,-0,-8.21156e-05
1.0797,0.00121983,0,-0.00129494,-1.0764,5.73777e-06,-0,0.000110736
1.06164,0.000419795,0,0.00135813,-1.0742,-1.21592e-05,-0,-0.000146519
1.11037,0.000843719,0,0.000756859,-1.07714,7.66256e-05,-0,4.48246e-05
1.07662,0.000959781,0,-0.000198136,-1.07898,-3.09046e-05,-0,-1.419e-05
1.09771,-0.00114404,-0,0.00262985,-1.07962,4.58333e-05,-0,-1.40688e-05
1.06875,0.000147405,0,0.000433833,-1.07559,-8.87473e-05,-0,-5.59975e-05
1.11986,0.00037291,0,0.000251952,-1.07473,-2.90067e-05,-0,-7.42603e-05
1.08323,0.000183319,0,0.000210582,-1.07043,2.30054e-05,-0,2.04491e-05
1.06786,-0.000506899,-0,-0.00103633,-1.07349,-0.000138814,-0,3.14883e-05
1.06722,0.000188923,0,0.00169959,-1.07773,-0.000139125,-0,-0.000110669
1.08981,0.00178753,0,0.00142821,-1.07518,-0.000130099,-0,5.17492e-05
1.08241,0.000534692,-0,8.24445e-05,-1.07637,7.56178e-06,-0,3.13459e-05
1.0667,0.000507948,0,0.00136143,-1.07627,-1.14865e-05,-0,-4.93829e-05
1.03454,0.00016309,-0,0.00200025,-1.07523,5.95757e-05,-0,-4.71255e-05
1.05488,0.000532329,-0,-0.00181999,-1.07695,2.28217e-05,-0,0.000106514
1.08017,0.0001993,-0,-0.00204988,-1.07475,-2.20705e-05,-0,4.09417e-05
1.05008,0.00075856,-0,-0.00208819,-1.07723,4.87369e-05,-0,6.50006e-05
1.0997,-0.000931747,0,0.000473453,-1.0734,8.59213e-05,-0,1.60347e-05
1.09073,0.00053496,0,-0.0013469,-1.07298,-3.59667e-05,-0,-3.0751e-05
1.08123,0.000827986,0,-0.000966924,-1.07481,3.02215e-05,-0,3.86822e-05
1.07596,-0.00155972,-0,-0.00183418,-1.07268,7.22318e-05,-0,6.18876e-07
1.08332,-4.90444e-05,-0,0.00154345,-1.07605,-2.6289e-05,-0,5.81994e-05
1.04888,-0.00169632,0,-0.000555898,-1.0772,5.40376e-06,0,2.44668e-05
1.09396,0.000414479,0,-0.00083398,-1.07713,-3.36589e-06,0,0.000118073
1.05109,-0.00115286,0,0.000467031,-1.07621,-3.77098e-05,0,-7.60086e-06
1.09205,-0.00233824,0,0.00204532,-1.07802,0.000101516,0,5.50526e-05
1.07012,-0.00128951,0,-0.00120588,-1.07534,1.82314e-05,0,4.86291e-05
1.08671,0.000317064,0,-0.00165571,-1.07682,1.77101e-06,0,3.95404e-05
1.0803,0.00211802,0,0.000183785,-1.07413,-0.000116415,0,-7.62061e-05
1.12772,0.000171524,0,0.00100693,-1.07716,-0.000155994,0,-6.00917e-05
1.08045,3.30529e-06,0,-0.00147907,-1.07647,-5.72828e-05,0,4.06803e-05
1.06136,0.00148116,-0,0.000170334,-1.07679,-5.11214e-05,0,-7.94033e-05
1.05037,-0.000664577,0,0.00226584,-1.07779,-6.2882e-05,0,-8.40026e-05
1.052,-0.001131,-0,0.000128113,-1.07755,-7.38656e-05,0,9.14242e-05
1.08086,0.000458846,-0,-0.000543502,-1.07619,9.30331e-05,0,6.03336e-05
1.11038,-0.000619555,0,0.000305189,-1.07751,-1.44355e-05,0,-1.78447e-05
1.06663,0.000282149,0,-0.00224977,-1.07872,6.32055e-05,0,-1.70068e-05
1.04419,-0.00164284,0,-0.00142017,-1.07589,5.16419e-05,0,3.87992e-05
1.09834,-0.00147075,0,-0.00151128,-1.0793,8.10765e-05,0,7.3831e-05
1.07223,-0.000132106,-0,0.000240053,-1.0783,-0.000133652,0,4.63619e-05
1.09348,0.000989827,-0,0.000976969,-1.07707,-1.05573e-05,0,1.10199e-05
1.10415,-0.000196598,0,-0.000856101,-1.0753,-3.37536e-05,0,3.67587e-05
1.07747,-0.00063331,-0,-0.000235768,-1.07461,3.81162e-05,0,2.74579e-05
1.07392,-0.000958928,0,0.00101144,-1.07492,-6.47504e-05,0,-8.64765e-05
1.09441,0.00219081,0,0.00180819,-1.07747,-3.32461e-06,0,-9.30833e-05
1.0634,0.00101678,-0,6.26878e-05,-1.07539,-1.32689e-05,0,4.31089e-05
1.05293,0.000733088,0,-0.00133352,-1.07413,6.36871e-05,0,-6.56608e-05
1.08176,-6.73219e-05,0,0.00280647,-1.07624,3.36897e-05,0,-3.45436e-05
1.08968,-0.000582049,-0,-0.00104439,-1.07609,7.6855e-05,0,9.92934e-05
1.10286,0.000266001,-0,0.000740522,-1.07863,5.20823e-05,0,-7.0063e-05
1.08613,-0.000708804,-0,0.000933522,-1.07612,-1.38833e-05,0,-2.30852e-05
1.08317,-0.00176666,0,-0.000404368,-1.07551,-2.45197e-05,0,-3.40478e-05
1.06248,1.565e-05,0,-0.000967454,-1.07548,-1.4255e-05,0,6.91217e-05
1.05013,-0.000224442,0,0.00176327,-1.07707,2.84887e-05,0,-1.50034e-05
1.07322,0.00338364,0,-0.00177852,-1.07543,-8.56935e-05,0,-7.05579e-05
1.08892,-4.39066e-05,-0,0.000593693,-1.07488,2.42757e-05,0,-5.05807e-05
1.09562,6.25103e-05,-0,-0.00108693,-1.07578,0.000127119,-0,-1.49859e-05
1.03932,-0.00148748,0,-0.000187346,-1.07399,-5.17358e-05,-0,1.04955e-05
1.13543,5.30032e-07,-0,0.000716827,-1.07712,4.88859e-06,-0,7.38096e-05
1.09601,0.000247746,0,-0.000134935,-1.0792,-1.56791e-05,-0,0.000100021
1.07903,-8.82628e-06,-0,-0.000682495,-1.07742,-1.21582e-05,-0,-0.000112894
1.07554,-4.17092e-05,0,-0.000280534,-1.07415,5.65332e-05,-0,-4.77462e-05
1.10419,1.10167e-05,-0,-0.00294686,-1.07591,8.90804e-05,0,-1.78871e-07
1.07381,-0.00175665,-0,0.00265061,-1.0758,0.000158477,-0,-0.000130948
1.06069,-3.95635e-05,0,-0.00111241,-1.07518,9.97203e-05,0,-7.08889e-05
1.08476,0.000251558,-0,0.00160226,-1.07764,8.15308e-05,-0,-4.5157e-05
1.07636,4.20859e-05,0,-0.00115897,-1.07597,-2.84997e-05,-0,6.76994e-08
1.08661,-0.00127746,-0,0.000748867,-1.0781,-1.06063e-05,-0,3.2467e-05
1.08748,0.00154327,0,-0.000906494,-1.07681,-3.65775e-05,-0,3.8869e-05
1.07428,-0.00139391,-0,2.63005e-05,-1.07663,-1.86454e-05,-0,-2.33585e-05
1.04513,-0.00230028,-0,0.003815,-1.07743,-7.51833e-05,-0,-2.79253e-05
1.10026,0.000859706,0,0.000174198,-1.07778,-1.90453e-05,-0,3.53217e-05
1.09542,-0.000765668,-0,-0.000901167,-1.07957,6.40566e-05,-0,9.56066e-05
1.06445,0.00116449,0,0.00136922,-1.07981,8.50483e-05,-0,-0.000183177
1.05121,0.000764898,0,0.000379329,-1.07781,2.61015e-05,-0,3.8549e-05
1.0912,1.54412e-05,-0,0.000449852,-1.07845,5.49263e-05,-0,-8.06184e-05
1.06587,-0.000197921,0,-0.000487291,-1.07526,2.25761e-05,-0,5.92971e-06
1.02475,-0.000908176,-0,0.000278931,-1.07867,-6.54482e-05,-0,-0.000150825
1.09159,0.000512482,-0,0.00121058,-1.07579,-2.71272e-05,0,-1.53042e-05
1.04327,0.000379775,0,0.00045294,-1.07632,2.47259e-05,0,2.80397e-05
1.07726,-0.000283554,0,-0.000125753,-1.07686,5.81284e-05,0,6.21792e-05
1.07545,0.000598972,-0,-0.00171641,-1.0756,0.000121742,0,3.84423e-05
1.12224,0.000708633,-0,-0.00124062,-1.07741,-9.59255e-05,0,0.000107883
1.07202,-0.000989891,0,-0.000922431,-1.07577,8.06748e-05,0,0.000162917
1.08018,0.00165049,-0,0.000236953,-1.07403,-8.02554e-05,0,0.000149587
1.04476,0.000431655,0,-0.0013681,-1.07645,8.52361e-05,0,-2.01391e-05
1.09242,-0.00100476,0,-0.00050486,-1.07632,7.65316e-06,0,-1.52202e-05
1.06047,0.00104514,0,-0.00091705,-1.0746,-0.000141407,0,-3.20933e-05
1.06045,-0.00105725,0,-0.000269627,-1.07404,-7.89349e-05,0,5.3122e-06
1.07026,-0.00131915,0,0.0011163,-1.07366,7.20478e-05,0,-7.17356e-05
1.09455,-0.00177702,0,0.00186009,-1.07766,9.41609e-05,0,-2.09679e-05
1.11866,-0.000515672,-0,-0.000591292,-1.07771,-4.5231e-05,0,1.7787e-05
1.09173,0.000284315,0,0.000795333,-1.07696,1.12748e-06,0,-5.99788e-05
1.05847,-0.00020773,-0,0.000266053,-1.0783,7.35652e-05,-0,-4.78229e-05
1.0605,-0.00109443,0,0.00170424,-1.07572,8.15577e-05,0,6.54712e-05
1.08812,4.81288e-05,-0,0.00240822,-1.07811,-2.03979e-05,0,4.76837e-05
1.07944,-0.00173677,-0,-0.000251233,-1.07723,-5.15069e-05,0,-6.55993e-06
1.06438,0.00066041,0,0.000309218,-1.07501,-5.44751e-05,-0,9.37128e-06
1.0821,-0.000715999,-0,-0.00015528,-1.07606,0.000140696,0,-4.69659e-05
1.06776,0.000842006,-0,-0.000430443,-1.07693,2.73459e-06,0,-5.92442e-05
1.04567,0.000805314,-0,0.0017291,-1.07436,2.39207e-05,-0,0.000113676
1.07589,0.00233582,0,0.000325802,-1.07452,3.3067e-05,0,2.59361e-06
1.05277,0.00016138,0,-0.000962573,-1.07547,0.000154651,0,1.52661e-05
1.04937,-0.000460872,-0,-0.00102034,-1.07344,-4.31503e-05,-0,8.43441e-05
1.06673,0.000402452,-0,0.000679724,-1.0771,-6.06432e-05,-0,-1.93637e-05
1.05395,-0.000739107,-0,0.00112583,-1.07456,8.54746e-05,-0,-0.000146426
1.06478,-0.000412484,-0,0.00310364,-1.07465,2.81953e-05,-0,7.43566e-05
1.05138,0.000180374,-0,0.00132845,-1.07575,-6.65317e-05,-0,3.48615e-05
1.08494,-4.78471e-05,-0,-0.000374536,-1.07806,-3.45508e-05,-0,3.69363e-05
1.06451,6.0454e-05,0,0.000507655,-1.07362,7.1988e-05,-0,-1.17146e-06
1.06532,0.000469718,-0,0.000247011,-1.07472,-5.5065e-05,-0,-2.76071e-05
1.05614,-0.0011633,0,0.00102406,-1.07456,0.000111288,-0,-0.000139667
1.08867,0.00168453,-0,1.23035e-05,-1.07847,-9.54754e-05,-0,2.13181e-05
1.08775,0.000695233,-0,0.000639408,-1.07348,-9.00958e-06,-0,-9.0398e-05
1.12117,0.00146392,0,-0.00349858,-1.07541,-9.33118e-05,-0,4.57204e-05
