tr,trp1,trp2,trp3,sigma,pi1,pi2,pi3,phi
-0.716514,0.00949792,0.000501668,0.00431918,-0.0472539,-0.301452,-0.016471,-0.163495,0.346566
-0.576734,0.00966641,0.000504144,0.00543316,-0.0494276,-0.326721,-0.014597,-0.225447,0.400286
-0.879836,0.00780413,-0.00509996,0.00508162,0.023014,-0.249145,0.161494,-0.110282,0.317562
-0.565331,0.00679313,-0.00355191,0.00273455,0.00712341,-0.224984,0.166179,-0.0787036,0.290651
-0.585651,0.00440232,-0.00458802,0.00147058,-0.138943,-0.178679,0.144076,-0.0413269,0.271472
-0.729938,0.00468066,-0.00513818,0.00477611,-0.0506364,-0.214069,0.173997,-0.151187,0.318625
-0.585186,0.00907557,-0.00501564,0.0016671,-0.0348829,-0.240345,0.176948,-0.0690838,0.308328
-0.74729,0.00547477,-0.00244724,-0.00295646,-0.0260364,-0.215023,0.104217,0.0389083,0.243491
-0.634739,0.00492393,0.000563241,-0.00189294,-0.0609005,-0.215549,-0.064884,0.019925,0.234046
-0.74083,0.00201984,0.00417504,0.00127773,0.0273385,-0.110356,-0.127945,-0.0395382,0.175668
-0.603933,0.000453976,0.00211917,0.0055751,0.0775328,-0.10924,-0.0891328,-0.179009,0.240694
-0.661691,0.00179601,0.00130656,0.00170586,0.00131504,-0.0950896,-0.0599285,-0.0595352,0.127199
-0.622696,0.00134589,-0.000748854,0.000975032,0.0102843,-0.0241246,-0.0155654,-0.09974,0.104298
-0.716355,0.00530174,-0.00105966,0.000717883,-0.0465285,-0.176052,0.0417127,-0.0628025,0.197087
-0.646833,0.00174453,0.000380593,0.005945,0.0474901,-0.0862536,-0.0600646,-0.187034,0.219737
-0.660201,0.000447146,0.0010663,0.00395378,0.0541574,0.0115461,-0.0419456,-0.12571,0.143628
-0.656031,-0.000371028,0.000389341,0.00168811,0.0629832,0.00967474,0.0331753,-0.0219685,0.0751245
-0.605435,0.00197382,-0.00242611,-0.000633837,-0.0552844,-0.0378695,0.0197629,0.0253157,0.0743096
-0.609698,0.000774832,-0.00134494,-0.00227152,0.0167904,-0.0193991,0.0545053,0.0889543,0.107433
-0.544565,0.0035773,0.00162334,-0.00242034,-0.0489614,-0.0862827,-0.0755886,0.0621181,0.139335
-0.65183,0.00447711,-0.00118962,0.00144136,-0.157869,-0.141736,0.0398539,0.0115407,0.216179
-0.562993,0.00214289,1.65463e-05,0.00156857,0.0258269,-0.0488891,-0.0128144,-0.0598799,0.0825045
-0.722036,0.00299093,-0.00265148,0.00232165,-0.00190871,-0.0808934,0.0796918,-0.079477,0.138617
-0.54294,0.0038804,-0.000708433,0.00175136,-0.0497267,-0.110359,0.0383547,-0.0759768,0.147971
-0.618862,0.00586938,0.00153866,-0.00337427,-0.0222111,-0.199583,-0.0568085,0.0813757,0.223999
-0.649611,0.00458417,-0.00243451,-0.00129969,0.112299,-0.121318,0.104756,0.0722105,0.208608
-0.701097,0.0015881,-0.00458111,-0.00172364,0.153699,-0.0266688,0.13969,0.00425316,0.209442
-0.628197,-0.00107663,-0.00589277,-0.00254125,0.114546,0.0396973,0.232513,0.107602,0.283438
-0.632675,0.000388608,-0.00338289,-0.00136446,-0.0607721,-0.0553013,0.134569,0.0747863,0.174509
-0.52979,0.000368535,0.00021474,-0.00546172,0.134175,-0.0287752,-0.024961,0.178113,0.226226
-0.673524,-0.00156507,-0.00318854,-0.00359291,0.126971,0.0863479,0.0530095,0.124086,0.204414
-0.571403,-0.000233743,-0.00304038,-0.00255191,0.184146,0.0578287,0.115513,0.124217,0.256957
-0.524536,0.000608538,0.00422644,-0.00457816,0.254537,0.0187234,-0.143974,0.145834,0.327316
-0.749223,0.00399526,0.000784059,-0.00332133,0.253707,-0.138277,-0.00190457,0.109322,0.308938
-0.624786,0.00244368,9.00092e-05,-0.0022621,0.13511,-0.112861,-0.0120656,0.119209,0.212952
-0.728094,0.00147468,-0.00497108,-0.00120569,0.0994944,-0.0636406,0.10251,0.0691934,0.171013
-0.673771,0.00441487,-0.00161066,-3.80534e-06,0.106443,-0.169255,0.0182672,-0.0438118,0.205501
-0.723742,0.00229217,-0.00216124,-0.000539197,0.157237,-0.0977137,0.110472,0.00649348,0.215679
-0.588148,0.0026364,0.000275256,-0.000840829,0.207644,-0.0681685,0.0088595,0.0424354,0.222806
-0.723408,0.00176219,0.000611148,-0.000415638,0.285057,-0.0793458,-0.0452553,-0.0481907,0.303189
-0.702712,0.00350513,-0.00127173,-0.00175387,0.0909014,-0.125406,0.08328,0.0377506,0.179862
-0.622559,0.00155768,-0.00114651,0.000909947,0.0437748,-0.0620894,0.0564782,-0.0493741,0.106766
-0.711253,0.0017,-0.00333806,0.000138065,0.0824991,-0.116206,0.130684,0.031927,0.195978
-0.661893,0.000854344,0.00274383,-0.00164469,0.0581599,-0.0523445,-0.112679,0.040122,0.142929
-0.567482,-0.000902793,0.00442514,-0.00128343,0.143611,0.0206751,-0.144609,0.050168,0.210903
-0.62699,0.00110845,0.00145039,0.000356635,0.0716546,-0.0244988,-0.0704339,-0.0292731,0.107482
-0.533556,-0.00324279,0.00338449,0.00308168,0.134006,0.0405971,-0.102887,-0.0698205,0.18726
-0.727619,-0.000405207,0.00557379,0.00515855,0.15056,0.0597348,-0.140064,-0.0733333,0.226346
-0.657458,-0.00275757,0.0045824,-0.00131299,0.187798,0.0795478,-0.207665,0.0473804,0.294899
-0.590314,-0.00294464,0.00241321,-0.00150768,0.0124672,0.0630064,-0.104396,0.0522341,0.133237
-0.624287,0.00374627,0.00203113,0.00294082,-0.00291374,-0.108645,-0.0804056,-0.128173,0.186294
-0.556345,0.00374364,0.00802598,0.00194551,0.0145581,-0.107113,-0.268061,-0.106379,0.307991
-0.638264,0.00331505,0.00474967,0.00529396,0.0642503,-0.110391,-0.25338,-0.18119,0.336668
-0.680264,0.0053883,0.0045332,0.0068351,0.159267,-0.149574,-0.170074,-0.18752,0.334406
-0.7095,0.00646685,0.00598479,0.000551624,0.0877672,-0.188409,-0.13295,0.0175923,0.247359
-0.641049,0.0025355,0.000317962,0.00121451,0.170136,-0.0675991,-0.0425788,-0.103888,0.214759
-0.671977,0.00226619,-0.00188872,0.00198776,0.0701731,-0.106641,-0.0210143,-0.0687807,0.146523
-0.652773,0.00624271,-0.000179698,0.00250982,0.13346,-0.219238,-0.046992,-0.103387,0.280667
-0.528957,0.00299484,0.00202402,-0.000886695,0.129169,-0.0641934,-0.0423762,0.0535213,0.159579
-0.617578,0.00473422,0.000758325,0.00411121,0.0498893,-0.121589,0.0086368,-0.0587289,0.14421
-0.603892,0.00178933,-0.00468959,-0.00178236,-0.0310985,-0.0505499,0.106541,0.0523158,0.132704
-0.589387,-0.00139068,-0.000770199,0.000565207,0.0202919,0.0492696,0.0256562,-0.0589893,0.0835298
-0.620412,-0.00159816,0.00332712,-0.00220279,0.244997,0.0167607,-0.0991403,0.0693389,0.273753
-0.806316,0.00197201,0.00121915,-0.00152303,0.236464,-0.0556493,-0.0351125,0.0499669,0.250483
-0.739489,0.000726624,0.00127337,-0.00409917,0.202789,-0.0403649,-0.0490185,0.132453,0.250398
-0.517036,-0.000224192,0.000559392,-0.000757401,0.150924,0.0097618,-0.0278146,0.0340732,0.157505
-0.615328,-0.00270138,0.00285293,-0.00139586,0.14049,0.101744,-0.0840293,0.052184,0.199683
-0.684778,0.00144323,0.00430359,0.000960757,0.085626,-0.0438761,-0.167952,-0.0292411,0.195754
-0.770979,0.00141244,0.00287301,0.0010621,0.116335,-0.00310096,-0.107658,-0.119045,0.198256
-0.386895,-0.000624915,0.0023737,0.00488741,0.118472,0.0281261,-0.0618833,-0.186947,0.231529
-0.638525,-0.00257566,-0.00206698,0.00263668,0.145154,0.0875525,0.036928,-0.0604276,0.183713
-0.600589,-0.00264739,-0.00508296,0.000396638,0.103503,0.124744,0.170963,-0.0278607,0.237231
-0.595124,-0.00689371,-0.00201608,-0.00218213,0.212297,0.241806,0.0575299,0.103291,0.342811
-0.600345,-0.00738186,-0.00405158,0.00228233,0.148279,0.265502,0.0699979,-0.0834292,0.323014
-0.574392,-0.00524541,0.000663055,0.00532064,0.0900387,0.212781,-0.00104191,-0.16571,0.28433
-0.694067,-0.00560939,-0.000457413,0.00618071,0.205161,0.2224,0.0100692,-0.180801,0.352623
-0.740896,-0.00401258,0.00141237,0.00393005,0.247687,0.187755,-0.0598488,-0.133005,0.343326
-0.581992,-0.00536801,0.00391955,0.00277388,0.357097,0.158375,-0.100194,-0.0863776,0.412433
-0.682936,-0.00328732,-0.00253552,-0.000245457,0.315881,0.0823492,0.0887245,0.0122351,0.338502
-0.680682,-0.00373518,-0.0042452,0.000347052,0.391512,0.120653,0.139446,-0.0255396,0.433516
-0.632712,-0.00348134,-0.000547511,-0.000520585,0.313016,0.131658,-0.0138287,0.0142749,0.340159
-0.767689,-0.00195404,-0.000847201,0.00433854,0.156505,0.0316158,0.0441082,-0.115438,0.201904
-0.614198,-0.00171455,-0.00108798,0.00150731,0.148386,0.057473,0.0635712,-0.0343436,0.174764
-0.648502,0.00209911,-0.0023881,0.000747658,0.167827,-0.0750723,0.0839589,0.00891144,0.202313
-0.634602,0.00477583,-0.00149555,-0.00155649,0.147596,-0.157354,0.00979055,0.0629985,0.224965
-0.722109,0.0053948,-0.00718212,-0.00433299,0.0502194,-0.219844,0.193388,0.144243,0.33024
-0.625822,0.00468733,-0.00853836,-0.00203048,0.0260204,-0.145327,0.281841,0.049284,0.321963
-0.687372,0.00396786,-0.00226439,0.00268471,0.0615234,-0.093283,0.114171,-0.057745,0.169872
-0.637087,0.00199291,0.000555343,0.00309945,0.0611048,-0.0914811,-0.0497771,-0.109243,0.162832
-0.774884,9.06721e-05,0.00187932,-4.42125e-05,-0.0761013,-0.00379579,-0.0483441,0.0461507,0.101355
-0.522636,-0.00266235,0.00438047,-1.14483e-05,-0.190511,0.0586828,-0.104389,0.00534877,0.225086
-0.584939,-0.00148194,-0.00227714,0.000641359,0.0187306,0.057555,0.0667512,-0.0495577,0.102835
-0.752719,-0.00141648,-0.00514323,0.000791761,-0.0685873,0.0200573,0.164981,0.00627423,0.179901
-0.522235,5.27571e-05,-0.0060798,0.00321027,0.0875773,0.0204479,0.209956,-0.094614,0.247227
-0.63955,0.00117262,-0.00491741,0.000933192,0.167201,-0.0349305,0.181548,-0.0350165,0.251718
-0.571705,0.000534169,-0.00361397,-0.000517415,0.281076,0.0157338,0.122464,0.0439356,0.310127
-0.582095,0.000764075,-0.00523707,-0.00429162,0.123512,0.00189425,0.162628,0.129531,0.241837
-0.726108,0.00105498,-0.00397934,-0.00909936,0.228701,-0.0148651,0.101387,0.299305,0.390369
-0.716596,0.00052205,-0.000538629,-0.003212,0.0110127,0.0174275,0.0244434,0.125243,0.129261
