f0c0,f0c1,f1c0,f1c1
2.76507
0.948942
0.720766
0.50789
0.369664
0.252233
0.183995
0.126309
0.0897291
0.0642467
0.0427251
0.0298517
0.021485
0.0148433
0.0100726
0.00694828
0.00443835
0.00290936
0.00192269
0.001308
0.000983723
0.000674888
0.000449131
0.00029567
0.000199089
0.00012228
6.54172e-05
3.62653e-05
2.28407e-05
1.36075e-05
8.20602e-06
6.03497e-06
4.04822e-06
3.2322e-06
1.76858e-06
9.02163e-07
-3.56909e-06
-9.07796e-06
-2.2629e-05
-3.5642e-05
-6.35093e-05
-0.000109716
-0.000176906
-0.000310368
-0.0005163
-0.000790234
-0.00112117
-0.0014904
-0.00236402
-0.00379717
-0.00556981
-0.00867471
-0.0128337
-0.0212776
-0.0311203
-0.0475262
-0.0676602
-0.0989165
-0.140786
-0.194523
-0.297564
-0.439131
-0.599719
-0.860318
2.88472
1.01163
0.730426
0.561757
0.421044
0.276688
0.195277
0.137529
0.0893176
0.0574456
0.0364457
0.0239042
0.016038
0.0103719
0.00624303
0.00384375
0.00207912
0.00102734
0.000358874
-0.000101592
-0.000280888
-0.000236783
-0.000260098
-0.000197289
-0.000139278
-0.000116665
-0.000100064
-8.29696e-05
-6.23058e-05
-4.59856e-05
-3.18952e-05
-2.03211e-05
-1.14475e-05
-3.32048e-06
3.26271e-06
1.11865e-05
1.67138e-05
2.21717e-05
2.38437e-05
1.63759e-05
-6.26525e-06
-4.02824e-05
-6.9391e-05
-0.000144716
-0.000350244
-0.000564372
-0.00101958
-0.00167092
-0.00261491
-0.00431648
-0.00670474
-0.0106775
-0.0159904
-0.0223658
-0.0338166
-0.0512682
-0.0764638
-0.117577
-0.169337
-0.232118
-0.351197
-0.518612
-0.708463
-0.974499
3.11529
1.04574
0.75488
0.565449
0.384887
0.274273
0.197379
0.132396
0.0844783
0.0529259
0.0318284
0.0188704
0.00935924
0.00469861
0.00168427
0.000642034
-0.000104142
-0.000533776
-0.000592338
-0.000557659
-0.000519195
-0.000510542
-0.000457979
-0.000364911
-0.000280811
-0.000212752
-0.000162376
-0.000121925
-8.8957e-05
-6.33975e-05
-4.23342e-05
-2.7016e-05
-1.48584e-05
-4.03943e-06
5.91112e-06
1.31956e-05
1.84747e-05
2.88507e-05
3.47283e-05
3.57096e-05
3.21427e-05
6.92527e-06
-1.82194e-05
-0.000107716
-0.000258537
-0.000497289
-0.000922846
-0.0016153
-0.00277366
-0.00423521
-0.00709505
-0.0114273
-0.0175107
-0.0250984
-0.0346142
-0.0512569
-0.074174
-0.109235
-0.164153
-0.261809
-0.370345
-0.546811
-0.838159
-1.08214
2.98055
0.996964
0.671149
0.474884
0.301136
0.204552
0.130698
0.0816391
0.0476544
0.02593
0.0111141
0.00440064
-0.00201715
-0.00426544
-0.00422466
-0.00330458
-0.0026048
-0.00219196
-0.00180236
-0.00139707
-0.00112585
-0.000873493
-0.000655912
-0.000494172
-0.000383946
-0.000270045
-0.000200097
-0.000137476
-9.18829e-05
-5.92413e-05
-3.71947e-05
-2.02399e-05
-4.92787e-06
9.39809e-06
2.49452e-05
4.14749e-05
6.00853e-05
8.10073e-05
0.000100517
0.000129031
0.00016261
0.000181245
0.000178858
0.000177421
0.000169587
0.00018381
-2.01061e-06
-0.000499919
-0.0013307
-0.00269374
-0.00398125
-0.00709497
-0.0114582
-0.0190556
-0.026509
-0.0403966
-0.0633308
-0.0924515
-0.144918
-0.219752
-0.340667
-0.493319
-0.717505
-1.02591
2.80905
0.933245
0.679321
0.465708
0.284884
0.176223
0.108142
0.0715574
0.0376122
0.0171856
0.00491015
-0.00506438
-0.0100472
-0.0101439
-0.00880686
-0.00750631
-0.00588088
-0.00422366
-0.00310179
-0.0022754
-0.00158854
-0.00112685
-0.000805304
-0.000598395
-0.000425088
-0.000289758
-0.000205399
-0.000141847
-9.21186e-05
-6.04587e-05
-3.62127e-05
-1.63135e-05
1.25491e-06
1.51137e-05
2.96931e-05
4.89091e-05
6.77689e-05
9.5373e-05
0.000130169
0.000185466
0.00023823
0.000313795
0.000412
0.000502046
0.000728026
0.000792583
0.000663675
0.000433232
0.000202912
-0.000407004
-0.00154169
-0.00354636
-0.00608278
-0.0103588
-0.0145743
-0.0213417
-0.0385116
-0.0721053
-0.122246
-0.194494
-0.323502
-0.486669
-0.718472
-0.934214
3.02774
1.04335
0.726951
0.433863
0.27807
0.151695
0.067518
0.0366101
0.0149667
-0.00125763
-0.00718394
-0.00986636
-0.0105951
-0.00905436
-0.00776447
-0.00646313
-0.00512049
-0.0040663
-0.00312479
-0.002278
-0.00163668
-0.00112015
-0.0008246
-0.000609933
-0.000444319
-0.000312303
-0.000220457
-0.000155187
-0.000102458
-6.64333e-05
-4.1964e-05
-1.87579e-05
3.42798e-06
2.39369e-05
4.54276e-05
7.31704e-05
0.000100579
0.000140425
0.000211297
0.000297935
0.000384888
0.000519104
