tr,trp1,trp2,trp3,sigma,pi1,pi2,pi3,phi
-0.587641,0.000690467,-0.0118539,0.00863619,2.12616,0.00101783,0.05253,-0.0361995,2.12712
-0.591237,-0.000749141,-0.0132328,0.0100736,2.12593,-0.000618262,0.050852,-0.0449543,2.12702
-0.588099,0.00132197,-0.0103113,0.00966727,2.133,-0.00742326,0.0475514,-0.0359153,2.13385
-0.576472,0.00292297,-0.0131241,0.0109529,2.13332,-0.00976337,0.0529474,-0.0465009,2.13451
-0.594318,0.00136864,-0.0131978,0.0105794,2.12924,-0.00885452,0.0527236,-0.0436977,2.13036
-0.582481,0.00320816,-0.0106739,0.00712644,2.12633,-0.0159714,0.0470598,-0.031788,2.12715
-0.579619,0.00433524,-0.0132745,0.00731062,2.12427,-0.0154532,0.053475,-0.0327057,2.12525
-0.587786,0.00350823,-0.0137736,0.00592962,2.11998,-0.00764762,0.0570615,-0.0245604,2.12091
-0.584369,0.00481578,-0.0127672,0.00544588,2.11864,-0.019484,0.0545105,-0.0190484,2.11952
-0.590249,0.00563577,-0.00765806,0.00609101,2.12388,-0.0177629,0.0324655,-0.0191414,2.12429
-0.587802,0.0056726,-0.00992779,0.00308479,2.12785,-0.0225432,0.0427994,-0.0180638,2.12847
-0.584779,0.00802158,-0.00657324,0.00319607,2.12757,-0.0363578,0.0356261,-0.0237589,2.12831
-0.584985,0.0123542,-0.00960415,0.00362727,2.13099,-0.049023,0.036993,-0.0184175,2.13195
-0.583227,0.0148196,-0.0102463,0.0052874,2.12486,-0.0619382,0.0371507,-0.0177296,2.12616
-0.584906,0.0162719,-0.00977657,0.00580469,2.13307,-0.0660059,0.0438046,-0.0280776,2.13473
-0.592233,0.0117294,-0.0130362,0.00557823,2.12777,-0.0550914,0.054545,-0.0219817,2.1293
-0.594142,0.0113691,-0.00862352,0.00541098,2.13415,-0.0483602,0.0396408,-0.0187734,2.13514
-0.5837,0.0122067,-0.0100393,0.00627822,2.12845,-0.0557598,0.0454048,-0.0256125,2.12982
-0.588967,0.0130509,-0.014007,0.004113,2.13157,-0.0556109,0.0563675,-0.0283724,2.13322
-0.589611,0.0130633,-0.0151389,0.00671218,2.13001,-0.053344,0.065297,-0.0279016,2.13186
-0.590546,0.0121805,-0.0118873,0.00940667,2.13162,-0.0491309,0.0525774,-0.0414862,2.13324
-0.587112,0.00846681,-0.0100676,0.00880856,2.13334,-0.0393199,0.0500353,-0.0365573,2.1346
-0.575361,0.0117515,-0.0127296,0.00577616,2.13104,-0.0494117,0.0586111,-0.0233755,2.13254
-0.586924,0.0107317,-0.0111581,0.00678198,2.13032,-0.0441298,0.0506182,-0.026102,2.13154
-0.575878,0.0103792,-0.0108056,0.004123,2.14051,-0.0415505,0.0513473,-0.0144218,2.14157
-0.588241,0.0104659,-0.0122638,0.0038798,2.12959,-0.0439631,0.0523921,-0.0159946,2.13075
-0.592799,0.0132389,-0.0126466,0.00587721,2.12833,-0.0518748,0.05415,-0.023561,2.12978
-0.59211,0.00913163,-0.0153971,0.00727503,2.1273,-0.0385642,0.0669596,-0.0274907,2.12888
-0.581078,0.0146801,-0.016282,0.00530246,2.13192,-0.0573735,0.069869,-0.021076,2.13394
-0.587254,0.0117155,-0.0142318,0.00385076,2.13396,-0.0467493,0.0576495,-0.0174399,2.13533
-0.588897,0.00900564,-0.014031,0.00402062,2.13445,-0.040484,0.0556642,-0.018231,2.13564
-0.587442,0.0092956,-0.0116914,0.00454984,2.13772,-0.0424537,0.0515455,-0.0167048,2.13883
-0.584117,0.0118765,-0.0127431,0.00314685,2.13954,-0.0467397,0.0580267,-0.0148802,2.14089
-0.591922,0.0108521,-0.0116795,0.00475143,2.13506,-0.0442577,0.0558579,-0.0176881,2.13632
-0.589715,0.00978901,-0.0126679,0.000550225,2.13362,-0.0437534,0.0538672,-0.00355142,2.13475
-0.593851,0.0055215,-0.0145108,-0.00142665,2.13479,-0.0214205,0.0623791,0.0131581,2.13585
-0.584038,0.00765003,-0.014387,-0.0044766,2.1247,-0.0267509,0.0691995,0.0189531,2.12608
-0.591136,0.00347328,-0.0153654,-0.00595095,2.12142,-0.0134749,0.0692351,0.0279869,2.12277
-0.583289,0.00431096,-0.017169,-0.0073901,2.13175,-0.0127978,0.0707589,0.0303754,2.13317
-0.587837,0.000240988,-0.0139295,-0.00543982,2.12808,-0.00906969,0.0625091,0.0252209,2.12917
-0.585112,0.0044478,-0.0137488,-0.00475809,2.12178,-0.0210355,0.0610518,0.0218329,2.12288
-0.58198,0.00608672,-0.0159455,-0.00462338,2.136,-0.0283554,0.0651724,0.0148344,2.13723
-0.586887,0.0100898,-0.0176317,-0.00220755,2.11813,-0.0392524,0.0723867,0.0125016,2.11976
-0.578624,0.0113297,-0.0181191,0.000866971,2.12283,-0.0459306,0.0708589,0.00063372,2.12451
-0.581574,0.0101727,-0.015911,-0.00152659,2.12175,-0.0438051,0.0676507,0.0041147,2.12329
-0.582704,0.00976382,-0.01437,0.0016952,2.12232,-0.0387158,0.0606394,-0.00298417,2.12354
-0.586249,0.00914091,-0.0148146,-0.00163827,2.13054,-0.0444495,0.0613885,0.0109115,2.13192
-0.588588,0.00809891,-0.0126504,-0.00216956,2.12912,-0.0314705,0.0549171,0.00928489,2.13008
-0.585154,0.006487,-0.0149627,0.00121341,2.12145,-0.0301628,0.0651561,-0.00167273,2.12267
-0.583934,0.00741329,-0.0158834,0.000663396,2.12525,-0.0323001,0.0747113,-0.00343859,2.12681
-0.579991,0.0092673,-0.0147815,-0.00104256,2.1277,-0.0380562,0.0659051,0.00457696,2.12907
-0.585356,0.0103314,-0.0133004,-0.000516259,2.13631,-0.0432063,0.0597287,0.00809758,2.1376
-0.585609,0.00678248,-0.0122093,-0.00324322,2.13292,-0.0299515,0.0547698,0.00991318,2.13386
-0.594803,0.00627729,-0.0121502,-0.00141335,2.1336,-0.0305741,0.0528273,0.00332695,2.13448
