tr,trp1,trp2,trp3,sigma,pi1,pi2,pi3,phi
-0.569751,-0.00662727,0.00389774,-0.00324608,2.55576,0.0330119,-0.0188754,0.017212,2.5561
-0.577402,-0.00675436,0.00388077,-0.00344451,2.55807,0.0327015,-0.0186557,0.0170761,2.5584
-0.576863,-0.00667807,0.00364971,-0.00344254,2.5595,0.0323877,-0.018478,0.0169492,2.55983
-0.575012,-0.0062711,0.00370958,-0.00343665,2.56081,0.0321002,-0.0182713,0.0167936,2.56114
-0.57763,-0.00660365,0.00375466,-0.00348906,2.56199,0.0318231,-0.0181081,0.0166546,2.56231
-0.572753,-0.00626883,0.00368434,-0.00340343,2.56339,0.0315737,-0.0179168,0.0164918,2.5637
-0.576766,-0.00632552,0.00373862,-0.00324224,2.56453,0.0312758,-0.0177655,0.0163244,2.56483
-0.579907,-0.00655789,0.00367156,-0.00327349,2.56552,0.0310092,-0.0176124,0.0161721,2.56582
-0.573616,-0.00655845,0.00347191,-0.00316995,2.56623,0.0307506,-0.0174798,0.0160176,2.56653
-0.575745,-0.0065135,0.0035123,-0.00300047,2.56706,0.0304802,-0.0173229,0.0158399,2.56735
-0.57649,-0.00629973,0.00350717,-0.00311377,2.56809,0.0302213,-0.0171515,0.0157188,2.56837
-0.575413,-0.0058902,0.00366151,-0.00325591,2.56898,0.0299714,-0.0169881,0.0155899,2.56926
-0.570778,-0.00606407,0.00342488,-0.00322866,2.56955,0.0297044,-0.0168032,0.0154499,2.56982
-0.575552,-0.00615907,0.00336284,-0.00289093,2.57038,0.029454,-0.0166528,0.0153169,2.57064
-0.56867,-0.00612939,0.00337974,-0.00308386,2.57057,0.0291616,-0.0165135,0.015184,2.57084
-0.570412,-0.00593244,0.00331371,-0.00297091,2.57109,0.028913,-0.0163986,0.015051,2.57135
-0.56723,-0.00596983,0.00341927,-0.00319957,2.57193,0.028659,-0.016283,0.0149329,2.57219
-0.578038,-0.00586356,0.00339043,-0.00295442,2.57223,0.028397,-0.0161579,0.0147593,2.57248
-0.56975,-0.00592094,0.00303745,-0.00317441,2.57277,0.0281429,-0.0160042,0.0146668,2.57302
-0.575908,-0.0059061,0.00312407,-0.00303035,2.57345,0.0278927,-0.0158405,0.0145411,2.57369
-0.570208,-0.00581272,0.00308734,-0.00299387,2.57401,0.0276261,-0.0156974,0.0144026,2.57425
-0.570293,-0.00563955,0.00313954,-0.00308219,2.5737,0.0273977,-0.01558,0.0142717,2.57393
-0.573988,-0.00546368,0.0031032,-0.00294604,2.5746,0.0271533,-0.0154438,0.0141435,2.57483
-0.572004,-0.00552169,0.0031645,-0.00299393,2.57479,0.0269072,-0.0153136,0.0140217,2.57502
-0.571943,-0.005545,0.00314733,-0.00275504,2.57498,0.026666,-0.0151924,0.013894,2.5752
-0.569848,-0.00529997,0.00318587,-0.00281091,2.57502,0.0264152,-0.015051,0.0137528,2.57524
-0.567613,-0.00550071,0.00306842,-0.00265224,2.5756,0.0262061,-0.0149258,0.0136165,2.57582
-0.575151,-0.00534042,0.00303629,-0.00276612,2.5762,0.025987,-0.0147939,0.0134813,2.57641
-0.578983,-0.00549284,0.0029852,-0.00261004,2.57609,0.0257517,-0.0146462,0.0133811,2.5763
-0.583442,-0.00518232,0.00306994,-0.0028331,2.57634,0.0255132,-0.0145139,0.0132767,2.57654
-0.577536,-0.00509809,0.00298028,-0.00258601,2.57697,0.0252854,-0.0143823,0.0131727,2.57717
