tr,trp1,trp2,trp3,sigma,pi1,pi2,pi3,phi
-0.586539,0.00235529,-0.0157591,0.00506608,2.14101,-0.00604328,0.0684328,-0.0245853,2.14225
-0.576669,0.000541295,-0.0140614,0.00878273,2.14758,0.000467872,0.0612487,-0.0421941,2.14886
-0.584551,0.00198731,-0.0136773,0.00860702,2.13589,-0.00623412,0.0545808,-0.0380814,2.13693
-0.580577,-1.76427e-05,-0.0110972,0.00709811,2.14307,-0.000206706,0.0447388,-0.0385933,2.14389
-0.586122,0.00174728,-0.0107928,0.00957777,2.15009,-0.00934994,0.0506996,-0.0398493,2.15108
-0.5827,0.00548245,-0.0112289,0.00986424,2.14639,-0.0145318,0.0528353,-0.0440184,2.14754
-0.5906,0.000515715,-0.0104288,0.00969958,2.14736,-0.00796156,0.046293,-0.044573,2.14833
-0.593535,0.00229116,-0.0106316,0.0070298,2.14068,-0.0113215,0.0477103,-0.0311884,2.14147
-0.590862,0.00246876,-0.0148556,0.00606249,2.13796,-0.0117889,0.0581018,-0.0304921,2.139
-0.593996,0.00198206,-0.0139414,0.00673883,2.13767,-0.00660329,0.0566673,-0.026575,2.1386
-0.581981,0.00522473,-0.0127978,0.00409396,2.13331,-0.0198918,0.0542368,-0.017868,2.13416
-0.590244,0.00464773,-0.00829878,0.0071279,2.13166,-0.0193067,0.0354756,-0.0213852,2.13215
-0.592089,0.00489451,-0.00824869,0.00576725,2.1408,-0.0190091,0.041257,-0.0191074,2.14136
-0.578395,0.00809809,-0.00857071,0.00385156,2.14655,-0.0345913,0.0376127,-0.0208578,2.14726
-0.589009,0.0117439,-0.00927532,0.00269833,2.14318,-0.0504357,0.0386396,-0.0166988,2.14419
-0.588338,0.0144161,-0.00627816,0.0028187,2.13936,-0.0580305,0.0299699,-0.0144122,2.1404
-0.583239,0.0161753,-0.0105675,0.00664919,2.14535,-0.0750148,0.0427093,-0.0225472,2.1472
-0.592758,0.0142019,-0.00912895,0.00612517,2.14326,-0.0658836,0.0460302,-0.0277734,2.14495
-0.580185,0.0130798,-0.0103284,0.00336604,2.14696,-0.0537278,0.0421,-0.0155285,2.1481
-0.584552,0.0109053,-0.00932712,0.00406454,2.14418,-0.0471943,0.0367078,-0.0215465,2.14512
-0.591551,0.00931949,-0.0112509,0.00609754,2.13872,-0.0462073,0.0516076,-0.0263247,2.14
-0.591975,0.0143953,-0.0140124,0.00547756,2.13854,-0.0581635,0.0601872,-0.0256649,2.14033
-0.590061,0.012189,-0.0138211,0.00611692,2.14209,-0.0550577,0.0629302,-0.0300532,2.14393
-0.582854,0.0120769,-0.0148327,0.00881843,2.14549,-0.0486744,0.0555868,-0.0410558,2.14715
-0.587191,0.00934091,-0.0114949,0.00851455,2.14531,-0.0396376,0.0462698,-0.0360214,2.14647
-0.587966,0.0115353,-0.0126587,0.00399489,2.14337,-0.0460212,0.0592279,-0.0235419,2.14481
-0.584593,0.0112422,-0.0133212,0.00785551,2.14707,-0.0485382,0.0545218,-0.0286676,2.1485
-0.594145,0.00987398,-0.0126885,0.00430976,2.15501,-0.0413419,0.0507212,-0.020222,2.1561
-0.591749,0.0097517,-0.0128783,0.00173595,2.14262,-0.0409583,0.0508433,-0.0122285,2.14365
-0.592739,0.0115181,-0.0141431,0.00340038,2.14736,-0.050619,0.0579583,-0.0158392,2.14879
-0.594017,0.0088673,-0.0130306,0.00840663,2.14669,-0.0408241,0.0549815,-0.036324,2.14809
-0.58238,0.0103696,-0.0144573,0.0031924,2.14337,-0.0485693,0.0709176,-0.0197492,2.14518
