tr,trp1,trp2,trp3,sigma,pi1,pi2,pi3,phi
-0.580712,0.00644415,-0.00678643,0.010704,2.36349,-0.0349158,0.0254428,-0.0532256,2.36448
-0.57646,0.00964344,-0.00672803,0.0140075,2.36879,-0.0429121,0.0277789,-0.0606159,2.37011
-0.582387,0.0105843,-0.00403754,0.0122696,2.36349,-0.0426076,0.0185516,-0.052546,2.36453
-0.571795,0.0101396,-0.00336288,0.0100226,2.37218,-0.0463024,0.0124394,-0.0466332,2.37312
-0.569763,0.00853452,-0.00535975,0.0117348,2.3738,-0.040194,0.0210251,-0.0529797,2.37482
-0.572187,0.00789903,-0.00601743,0.0107562,2.37891,-0.0362207,0.0298895,-0.0538719,2.37999
-0.574966,0.00468177,-0.00447305,0.0128242,2.37922,-0.0192811,0.0196588,-0.0582006,2.38009
-0.580736,0.00726966,-0.00402138,0.0154037,2.37503,-0.0291817,0.0199019,-0.0675972,2.37625
-0.574289,0.0064466,-0.00519092,0.0161869,2.37099,-0.0298966,0.0265848,-0.0762773,2.37255
-0.573334,0.00736478,-0.00577292,0.0144671,2.37557,-0.0323937,0.029275,-0.0649986,2.37686
-0.573214,0.0051435,-0.00533004,0.0155606,2.37598,-0.0274311,0.0245237,-0.068582,2.37725
-0.565837,0.00500159,-0.00752579,0.0163065,2.38236,-0.0219657,0.0322732,-0.0731279,2.3838
-0.567962,0.00587883,-0.00857182,0.0166851,2.3814,-0.0297817,0.038514,-0.0766414,2.38313
-0.575972,0.00856894,-0.00790242,0.018762,2.37709,-0.0352442,0.0380825,-0.0891224,2.37932
-0.57704,0.00658173,-0.0114576,0.0175598,2.38772,-0.0320136,0.0533695,-0.0779987,2.3898
-0.574137,0.00812712,-0.0102775,0.0159829,2.3857,-0.0438686,0.049015,-0.0720571,2.38769
-0.570087,0.00499638,-0.00968528,0.0134818,2.39084,-0.0228555,0.0462681,-0.065283,2.39229
-0.57127,0.00675831,-0.00909681,0.0138332,2.38502,-0.0324596,0.0386539,-0.0659135,2.38647
-0.584128,0.00673621,-0.00825634,0.0150812,2.38176,-0.0383143,0.0384096,-0.0709007,2.38343
-0.575091,0.00718252,-0.0128367,0.0114904,2.38164,-0.0360272,0.0553785,-0.0543803,2.38318
-0.576822,0.00754872,-0.0164706,0.0129099,2.37816,-0.0322025,0.0728302,-0.0551949,2.38013
-0.569808,0.00613929,-0.0168716,0.0117758,2.37898,-0.0291812,0.0751987,-0.0482064,2.38083
-0.573163,0.00846429,-0.0175154,0.00945546,2.38357,-0.0410794,0.0780237,-0.0440444,2.38561
-0.573648,0.00763366,-0.0172211,0.0105911,2.38748,-0.034929,0.0790117,-0.0520118,2.38961
-0.57296,0.00719474,-0.0190603,0.00940139,2.38637,-0.0344926,0.0838131,-0.0422334,2.38846
-0.573071,0.00365219,-0.0153192,0.00899188,2.3874,-0.016218,0.075209,-0.0436984,2.38904
-0.574729,0.000824947,-0.0168664,0.00948179,2.39447,-0.00541323,0.0800277,-0.0393025,2.39614
-0.584705,0.000843441,-0.0147895,0.00605012,2.39058,-0.00420683,0.0732155,-0.0264095,2.39185
