tr,trp1,trp2,trp3,sigma,pi1,pi2,pi3,phi
-0.585506,0.00563828,-0.0165037,0.010087,2.19408,-0.0229041,0.0731113,-0.0402209,2.19579
-0.580961,0.00090853,-0.0157631,0.00818489,2.19755,-0.00537535,0.0706109,-0.0327248,2.19894
-0.582058,0.00103933,-0.0160506,0.00492508,2.19914,-0.00165642,0.066381,-0.0238195,2.20027
-0.576748,-0.00290952,-0.0186422,0.00636348,2.20412,0.0129018,0.0752718,-0.0258486,2.2056
-0.574683,-0.00300691,-0.0162327,0.00439956,2.20094,0.0117378,0.0737192,-0.0240627,2.20234
-0.584883,-0.00220454,-0.0188443,0.00815582,2.2064,0.0089243,0.0861318,-0.0315074,2.20832
-0.587393,-0.00170134,-0.018841,0.00524854,2.20483,0.00181161,0.0842736,-0.024258,2.20658
-0.582658,0.00388583,-0.0165454,0.00575102,2.20992,-0.0102338,0.0712678,-0.0222836,2.2112
-0.581731,0.000141768,-0.0158068,0.00689608,2.21864,0.000903755,0.0726338,-0.030271,2.22003
-0.578852,-0.00157109,-0.0166638,0.0129086,2.22293,0.00741107,0.0706906,-0.0498584,2.22463
-0.576702,-0.00162572,-0.0145544,0.00840023,2.21307,0.0048479,0.0635785,-0.0392001,2.21433
-0.580728,-0.00074757,-0.0134702,0.0114928,2.21585,0.00436941,0.0536711,-0.051566,2.2171
-0.585381,-0.000443234,-0.0116739,0.00856664,2.21805,0.00413031,0.0465416,-0.0384123,2.21887
-0.573327,-0.000220216,-0.0099005,0.0116782,2.2248,-0.00293265,0.0489475,-0.0498061,2.2259
-0.582725,0.00196847,-0.0123603,0.0115203,2.22118,-0.00962411,0.0562923,-0.0535111,2.22256
-0.581072,0.00270895,-0.0131112,0.00957379,2.22042,-0.0154155,0.0556436,-0.0396694,2.22152
-0.573397,0.000674095,-0.0112783,0.0105001,2.21856,-0.00576782,0.0474664,-0.0493614,2.21962
-0.584126,0.00436525,-0.0118308,0.00764249,2.21216,-0.0148709,0.0512467,-0.029868,2.213
-0.581473,0.00396378,-0.0139351,0.00645883,2.2133,-0.0189687,0.0570435,-0.0314957,2.21434
-0.578047,0.00202478,-0.0156153,0.00776636,2.20969,-0.00914709,0.0651618,-0.0327897,2.21091
-0.582246,0.00167044,-0.0156733,0.00658142,2.2049,-0.00635966,0.06378,-0.0229479,2.20596
-0.572466,0.00362701,-0.0139897,0.0050269,2.20768,-0.0154676,0.0678938,-0.0200908,2.20887
-0.579166,0.00338463,-0.0123362,0.00555037,2.20398,-0.0221366,0.0527957,-0.0192538,2.2048
-0.580884,0.00519769,-0.00747033,0.00326295,2.21005,-0.0221442,0.0356712,-0.01794,2.21052
-0.580358,0.00422705,-0.00845331,0.00352107,2.21368,-0.0207135,0.0419211,-0.0164851,2.21423
-0.583529,0.00676964,-0.00702535,0.00282911,2.21304,-0.0339028,0.0368826,-0.0115442,2.21364
-0.579604,0.00883365,-0.00603277,0.00309015,2.21047,-0.0414732,0.0346962,-0.02206,2.21124
-0.582478,0.0129005,-0.00996807,0.00361988,2.21448,-0.056228,0.0414928,-0.0148763,2.21563
-0.592357,0.014335,-0.00864815,0.00509453,2.2129,-0.0563005,0.032781,-0.0142944,2.21391
-0.584952,0.0166222,-0.0107028,0.0038942,2.20885,-0.0726252,0.039842,-0.0170525,2.21047
-0.578412,0.0186991,-0.0114589,0.00599269,2.21232,-0.0853439,0.0497866,-0.0263509,2.21468
-0.57987,0.0152992,-0.0100327,0.00680791,2.2154,-0.0710604,0.0416086,-0.0292223,2.21712
-0.577815,0.012867,-0.0121438,0.00362764,2.21596,-0.0600717,0.0567331,-0.0178049,2.21757
-0.577929,0.0118979,-0.00800089,0.00312637,2.21516,-0.0612818,0.0402349,-0.0133811,2.21641
-0.585631,0.0121211,-0.00960983,0.00631891,2.21034,-0.0539721,0.0437504,-0.0236312,2.21156
-0.578143,0.0147716,-0.0109787,0.00526968,2.20583,-0.0616338,0.0513733,-0.0226506,2.2074
-0.58483,0.0138439,-0.0152463,0.00548877,2.21138,-0.0598417,0.0684591,-0.0251501,2.21339
-0.584102,0.0135521,-0.0157976,0.00668108,2.21306,-0.0609585,0.0704316,-0.0297705,2.21522
